"Hostname","Hostname"
"Hostname is used for sending store configuration parameters to Klevu.","Hostname is used for sending store configuration parameters to Klevu."
"API URL","API URL"
"API URL is used for account integration with Klevu. If empty the default in the PHP SDK will be used. There should be no reason to change this in Production. Can be set via \"bin/magento setup:store-config:set klevu_configuration/developer/url_api\"",""API URL is used for account integration with Klevu. If empty the default in the PHP SDK will be used. There should be no reason to change this in Production. Can be set via \"bin/magento setup:store-config:set klevu_configuration/developer/url_api\""
"Tiers URL","Tiers URL"
"Tiers URL is used for retrieving information about the Klevu Plan you are signed up to.',"Tiers URL is used for retrieving information about the Klevu Plan you are signed up to."
"Configuration Log Level","Configuration Log Level"
"Log Level for the integration and configuration log.","Log Level for the integration and configuration log."
"Klevu Modules","Klevu Modules"
"Klevu Endpoints","Klevu Endpoints"
"API URL is used for account integration with Klevu. If empty the default in the PHP SDK will be used.","API URL is used for account integration with Klevu. If empty the default in the PHP SDK will be used."
"Analytics URL","Analytics URL"
"Analytics URL is used for sending tracking data to Klevu.","Analytics URL is used for sending tracking data to Klevu."
"Indexing URL","Indexing URL"
"Indexing URL is used for syncing data to Klevu.","Indexing URL is used for syncing data to Klevu."
"JS URL","JS URL"
"JS URL is used for loading javascript on the frontend.","JS URL is used for loading javascript on the frontend."
"Search URL","Search URL"
"Search URL is used for search queries.","Search URL is used for search queries."
"Integration Status","Integration Status"
"Integration","Integration"
"Frontend","Frontend"
"Data Sync","Data Sync"
"Developer Settings","Developer Settings"
"Information","Information"
"Notifications","Notifications"
"Klevu Integration","Klevu Integration"
"Features Available in KMC. Refresh if you have changed setting in KMC.","Features Available in KMC. Refresh if you have changed setting in KMC."
"Account can not be integrated with Magento as it is not assigned to the Magento platform.","Account can not be integrated with Magento as it is not assigned to the Magento platform."
"Account can not be integrated as it is inactive.","Account can not be integrated as it is inactive."
"Supplied Endpoint URl is invalid. Received %1","Supplied Endpoint URl is invalid. Received %1"
"Filter array is missing "scope" key.","Filter array is missing "scope" key."
"Invalid Argument: %1","Invalid Argument: %1"
"Filter array is missing "scope_id" key.","Filter array is missing "scope_id" key."
